id,title,description,body,year,category,author,source
81,"Surprise victory for Basescu in Romania Traian Basescu, a sea captain turned politician, won a surprise victory in Romania #39;s presidential run-off election held on Sunday, according to final result",,"Surprise victory for Basescu in Romania Traian Basescu, a sea captain turned politician, won a surprise victory in Romania #39;s presidential run-off election held on Sunday, according to final results announced yesterday.",2021,World,Marco Rossi,CNBC
82,Bush Record: New Priorities in Environment The Bush administration's approach to environmental issues has challenged the status quo by revising the traditional public-policy calculus on decisions.,,Bush Record: New Priorities in Environment The Bush administration's approach to environmental issues has challenged the status quo by revising the traditional public-policy calculus on decisions.,2025,World,John Doe,TechCrunch
83,"Tests Show No Mad Cow, Cattle Prices Rise  WASHINGTON/CHICAGO (Reuters) - An animal suspected of  having mad cow disease was given a clean bill of health in a  second round of sophisticated testing, t",Agriculture  Department said on Tuesday after cattle prices soared in  expectation of the news.,"Tests Show No Mad Cow, Cattle Prices Rise  WASHINGTON/CHICAGO (Reuters) - An animal suspected of  having mad cow disease was given a clean bill of health in a  second round of sophisticated testing, the U.S. Agriculture  Department said on Tuesday after cattle prices soared in  expectation of the news.",2020,Business,Chen Li,Reuters
84,Bush Offers Sympathy at Russian Embassy (AP) AP - President Bush made an unexpected visit to the Russian Embassy on Sunday where he signed a book of condolences for victims of the school hostage seizu,,"Bush Offers Sympathy at Russian Embassy (AP) AP - President Bush made an unexpected visit to the Russian Embassy on Sunday where he signed a book of condolences for victims of the school hostage seizure and expressed outrage at the actions of ""evil terrorists.""",2019,World,John Doe,Wired
85,"Padres Paste Slumping Mets 4-0 (AP) AP - Brian Lawrence escaped a bases-loaded jam in the first inning and allowed just four hits the rest of the way Wednesday night, pitching the San Diego Padres to",,"Padres Paste Slumping Mets 4-0 (AP) AP - Brian Lawrence escaped a bases-loaded jam in the first inning and allowed just four hits the rest of the way Wednesday night, pitching the San Diego Padres to a 4-0 victory over the slumping New York Mets.",2025,Sports,John Doe,The Guardian
86,"Quiz Eisner in shareholder suit Disney big cheese Michael Eisner took the witness stand for the first time yesterday in an ongoing shareholder lawsuit, defending his choice of ex-super talent agent Mi",,"Quiz Eisner in shareholder suit Disney big cheese Michael Eisner took the witness stand for the first time yesterday in an ongoing shareholder lawsuit, defending his choice of ex-super talent agent Michael Ovitz as Disney #39;s No.",2023,Business,Jane Doe,CNBC
87,"Oil firms in talks to end Nigerian jobs protest Multinational companies began talks Monday with Nigerian villagers occupying three oil platforms in a dispute over jobs which shut 90,000 barrels per da",,"Oil firms in talks to end Nigerian jobs protest Multinational companies began talks Monday with Nigerian villagers occupying three oil platforms in a dispute over jobs which shut 90,000 barrels per day of oil production.",2019,World,Chen Li,The Guardian
88,"1,600 internet cafes closed in China The Chinese local governments have closed 1600 Internet cafes and fined operators a total of 100m yuan (\$12m) between February and August this year.",,"1,600 internet cafes closed in China The Chinese local governments have closed 1600 Internet cafes and fined operators a total of 100m yuan (\$12m) between February and August this year.",2021,Sci/Tech,Sara Ahmed,Reuters
89,Pitt Locks Up BCS Bid Tyler Palko tosses a career-high 411 yards and five touchdowns to push No,"19 Pittsburgh over South Florida, 43-14, on Satudray.","Pitt Locks Up BCS Bid Tyler Palko tosses a career-high 411 yards and five touchdowns to push No. 19 Pittsburgh over South Florida, 43-14, on Satudray.",2020,Sports,M. Patel,CNBC
90,Over 80 hurt on first day of Bangladesh strike (Reuters) Reuters - Opposition activists in Bangladesh attacked railway stations and battled police across the country on Tuesday on the first day of a t,,Over 80 hurt on first day of Bangladesh strike (Reuters) Reuters - Opposition activists in Bangladesh attacked railway stations and battled police across the country on Tuesday on the first day of a two-day strike called to protest against a deadly grenade attack at the weekend.,2020,World,Chen Li,Bloomberg
91,Open-Roddick can #39;t wait for  #39;electric #39; atmosphere Andy Roddick hopes to use home advantage to the maximum as he begins the defence of his US Open crown next week,"Roddick, who opens this year against American","Open-Roddick can #39;t wait for  #39;electric #39; atmosphere Andy Roddick hopes to use home advantage to the maximum as he begins the defence of his US Open crown next week. Roddick, who opens this year against American",2021,Sports,Chen Li,Bloomberg
92,Cheney Echoes Bush's Criticism of Kerry (AP) AP - Vice President Dick Cheney on Wednesday echoed President Bush's latest sharp challenge of Sen,John Kerry's fitness to serve as commander in chief as the Republican No. 2 basked in approval from GOP supporters cheered by his debate performance.,Cheney Echoes Bush's Criticism of Kerry (AP) AP - Vice President Dick Cheney on Wednesday echoed President Bush's latest sharp challenge of Sen. John Kerry's fitness to serve as commander in chief as the Republican No. 2 basked in approval from GOP supporters cheered by his debate performance.,2019,World,Jamie Lee,Reuters
93,"FTC wants spammer bounties Congress has asked the US Federal Trade Commission (FTC) to look into spam reduction measures, including a  quot;Do Not Spam quot; list idea passed with the CAN-SPAM Act.",,"FTC wants spammer bounties Congress has asked the US Federal Trade Commission (FTC) to look into spam reduction measures, including a  quot;Do Not Spam quot; list idea passed with the CAN-SPAM Act.",2020,Sci/Tech,Chen Li,CNBC
94,Feds go after  #39;Spam King #39; Federal attorneys are trying to shut down an allegedly illicit Internet business operated out of a dance club in Rochester that is deluging computers with unwanted po,,Feds go after  #39;Spam King #39; Federal attorneys are trying to shut down an allegedly illicit Internet business operated out of a dance club in Rochester that is deluging computers with unwanted pop-up ads by hijacking their browsers.,2021,Sci/Tech,Jane Doe,CNBC
95,Microsoft braces for EU anti-trust appeal US software giant Microsoft said it will abide by whatever ruling is handed down by a European appeal court hearing due to start this week against an EU conde,,Microsoft braces for EU anti-trust appeal US software giant Microsoft said it will abide by whatever ruling is handed down by a European appeal court hearing due to start this week against an EU condemnation for abusing its market dominance.,2025,Business,A. Johnson,TechCrunch
96,Frances Postpones Third Cubs-Marlins Game (AP) AP - The Florida Marlins postponed Sunday's game against the Chicago Cubs as Hurricane Frances crept ashore on the eastern coast of Florida.,,Frances Postpones Third Cubs-Marlins Game (AP) AP - The Florida Marlins postponed Sunday's game against the Chicago Cubs as Hurricane Frances crept ashore on the eastern coast of Florida.,2020,Sports,M. Patel,CNBC
97,Chain Store Sales Mixed in Oct 16 Week  NEW YORK (Reuters) - U.S,"chain store sales rose in the  second week of October compared with last year, as seasonal  shopping drove sales during the second week of the month, a  report said on Tuesday.","Chain Store Sales Mixed in Oct 16 Week  NEW YORK (Reuters) - U.S. chain store sales rose in the  second week of October compared with last year, as seasonal  shopping drove sales during the second week of the month, a  report said on Tuesday.",2025,Business,Sara Ahmed,TechCrunch
98,MOTOR RACING: IT #39;S TWO IN A ROW FOR DARIO DARIO FRANCHITTI scored a scorching second Indy Racing League race of 2004 on a triumphant return to Pikes Peak,The Scot finished fourth at the Colorado track last year but this time he led the race four,MOTOR RACING: IT #39;S TWO IN A ROW FOR DARIO DARIO FRANCHITTI scored a scorching second Indy Racing League race of 2004 on a triumphant return to Pikes Peak. The Scot finished fourth at the Colorado track last year but this time he led the race four,2024,Sports,Chen Li,CNBC
100,Busch's ambience set it apart from others ST,"LOUIS -- Even a cookie-cutter stadium -- which is the pejorative term that came to describe the multipurpose bowls that seemed to spring up simultaneously in Pittsburgh, Cincinnati, Atlanta, Queens, Philadelphia, and St. Louis in the late 1960s and early '70s -- can have their quirks.","Busch's ambience set it apart from others ST. LOUIS -- Even a cookie-cutter stadium -- which is the pejorative term that came to describe the multipurpose bowls that seemed to spring up simultaneously in Pittsburgh, Cincinnati, Atlanta, Queens, Philadelphia, and St. Louis in the late 1960s and early '70s -- can have their quirks.",2020,Sports,Chen Li,The Guardian
101,Stocks creep higher in New York NEW YORKUS blue-chip stocks ended barely higher yesterday as a spike in oil prices to record closing levels pared earlier gains and renewed concerns about the effect of,,Stocks creep higher in New York NEW YORKUS blue-chip stocks ended barely higher yesterday as a spike in oil prices to record closing levels pared earlier gains and renewed concerns about the effect of high energy prices on consumer spending and corporate profits.,2022,Business,Alex Smith,The Guardian
102,"Nigeria bars Halliburton contracts Nigeria said on Monday it had banned the awarding of government contracts to Halliburton, the world #39;s second-largest oil services firm, following the theft of tw",,"Nigeria bars Halliburton contracts Nigeria said on Monday it had banned the awarding of government contracts to Halliburton, the world #39;s second-largest oil services firm, following the theft of two radioactive devices from its Nigerian subsidiary.",2022,Business,Jane Doe,TechCrunch
103,"J amp;J takes heart from 13bn deal Johnson  amp; Johnson announced a \$25.4bn (13.1bn) deal yesterday to buy Guidant Corporation, giving the healthcare company a stake in the fast-growing market for d",,"J amp;J takes heart from 13bn deal Johnson  amp; Johnson announced a \$25.4bn (13.1bn) deal yesterday to buy Guidant Corporation, giving the healthcare company a stake in the fast-growing market for devices that regulate heartbeats.",2022,Business,Sara Ahmed,AP
104,"Calpers to begin search for new President NEW YORK, December 3 (newratings.com) - The Board members of the Californian state pension fund, Calpers (California Public Employees Retirement System), are",,"Calpers to begin search for new President NEW YORK, December 3 (newratings.com) - The Board members of the Californian state pension fund, Calpers (California Public Employees Retirement System), are scheduled to begin the process of selecting a new President today, after Sean Harrigan was",2021,Business,Alex Smith,BBC
105,"Broncos Griffin reportedly out for season The Denver Broncos have lost tailback-turned-kickoff returner Quentin Griffin for the season, ESPN reported Tuesday, citing no sources.",,"Broncos Griffin reportedly out for season The Denver Broncos have lost tailback-turned-kickoff returner Quentin Griffin for the season, ESPN reported Tuesday, citing no sources.",2019,Sports,Chen Li,AP
106,Napier's Chessboard Calculator Isn't Napier the logarithm guy? Yes indeed,"A man of varied  talents, he popularized the modern decimal point notation and argued  that the Pope of 1593 was the Antichrist.    And created one of the first devices to automate binary  arithmetic. Using nothing more than a chessboard and some counters, he  developed ways to multiply, divide and even find the square roots of  binary numbers.","Napier's Chessboard Calculator Isn't Napier the logarithm guy? Yes indeed. A man of varied  talents, he popularized the modern decimal point notation and argued  that the Pope of 1593 was the Antichrist.    And created one of the first devices to automate binary  arithmetic. Using nothing more than a chessboard and some counters, he  developed ways to multiply, divide and even find the square roots of  binary numbers.",2020,Sci/Tech,John Doe,AP
107,Some Weapons at Russia School Were Stolen MOSCOW Sept,"16, 2004 - Some of the weapons used by militants in the deadly Russian school siege were pilfered from police posts in armed raids allegedly led by one of Chechnya #39;s most notorious warlords, Russia #39;s","Some Weapons at Russia School Were Stolen MOSCOW Sept. 16, 2004 - Some of the weapons used by militants in the deadly Russian school siege were pilfered from police posts in armed raids allegedly led by one of Chechnya #39;s most notorious warlords, Russia #39;s",2021,World,Sara Ahmed,BBC
108,Sony Sends Its Robots to School Humanoid devices will be used to encourage interest in science and technology.,,Sony Sends Its Robots to School Humanoid devices will be used to encourage interest in science and technology.,2022,Sci/Tech,Chen Li,Bloomberg
109,IOC Sets Up Disciplinary Commission To Investigate Jones Doping &lt;b&gt;...&lt;/b&gt; The International Olympic Committee (IOC) announced Tuesday that IOC President Jacques Rogge has set up a Discipl,,"IOC Sets Up Disciplinary Commission To Investigate Jones Doping &lt;b&gt;...&lt;/b&gt; The International Olympic Committee (IOC) announced Tuesday that IOC President Jacques Rogge has set up a Disciplinary Commission to investigate remarks on ABCs 20/20 Friday, made by Victor Conte, head of the California-based Balco laboratory, on ABC",2023,Sports,John Doe,CNBC
111,Siemens issue warning over 65 series handsets Siemens has posted a warning over its latest range of mobile phones suggesting that a flaw in them may hurt user while using them.,,Siemens issue warning over 65 series handsets Siemens has posted a warning over its latest range of mobile phones suggesting that a flaw in them may hurt user while using them.,2024,Sci/Tech,Alex Smith,The Guardian
112,"Headset Maker Plantronics Surfs on Games Wave  MILAN (Reuters) - Blockbuster video games and cheap  Internet phone calls are boosting demand for Plantronics'  &lt;A HREF=""http://www.reuters.co.uk/fina",,"Headset Maker Plantronics Surfs on Games Wave  MILAN (Reuters) - Blockbuster video games and cheap  Internet phone calls are boosting demand for Plantronics'  &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=PLT.N qtype=sym infotype=info qcat=news""&gt;PLT.N&lt;/A&gt; headsets, the chief executive of the world's leading  maker of phone headsets said on Wednesday.",2023,Sci/Tech,Marco Rossi,TechCrunch
113,"Nigerian Rebels to Widen Conflict, Target Agip  LAGOS (Reuters) - Nigerian rebels fighting government  troops in the southern Port Harcourt area are poised to launch  an uprising across the entire oil",,"Nigerian Rebels to Widen Conflict, Target Agip  LAGOS (Reuters) - Nigerian rebels fighting government  troops in the southern Port Harcourt area are poised to launch  an uprising across the entire oil-producing delta region to  force political reforms or gain sovereignty, a rebel leader  said on Sunday.",2024,World,Jamie Lee,TechCrunch
114,United ends Arsenal #39;s streak Manchester United emerged triumphantly from an uncompromising Battle of the Titans to end Arsenal #39;s 49-match unbeaten English Premier League run with a 2-0 victory,,United ends Arsenal #39;s streak Manchester United emerged triumphantly from an uncompromising Battle of the Titans to end Arsenal #39;s 49-match unbeaten English Premier League run with a 2-0 victory at Old Trafford on Sunday.,2019,Sports,Chen Li,BBC
115,"BHP Billiton to expand Pilbara operations Iron ore miner BHP Billiton has announced a further expansion of its Pilbara operations, to meet continuing demand in Asia","Under its \$780 million Rapid Growth Project, BHP Billiton will increase its overall","BHP Billiton to expand Pilbara operations Iron ore miner BHP Billiton has announced a further expansion of its Pilbara operations, to meet continuing demand in Asia. Under its \$780 million Rapid Growth Project, BHP Billiton will increase its overall",2019,Business,M. Patel,Reuters
116,"Indonesia's Yudhoyono rejects foreign help to solve Aceh conflict (AFP) AFP - A state of civil emergency in the rebellion-hit Indonesian province of Aceh has been formally extended by six month, as th",,"Indonesia's Yudhoyono rejects foreign help to solve Aceh conflict (AFP) AFP - A state of civil emergency in the rebellion-hit Indonesian province of Aceh has been formally extended by six month, as the country's president pledged to end violence there without foreign help.",2024,World,Alex Smith,Wired
117,"Rooney brought down to earth After a debut that was the stuff of fantasy, Wayne Rooney was introduced to the real Manchester United yesterday",The 18-year-old could have been forgiven for thinking that life,"Rooney brought down to earth After a debut that was the stuff of fantasy, Wayne Rooney was introduced to the real Manchester United yesterday. The 18-year-old could have been forgiven for thinking that life",2021,Sports,Alex Smith,The Guardian
119,"Turnaround Progress Seen, 2 Executives to Leave Ford Two of the Ford Motor Company's most senior executives retired in a sign that the company's deep financial crisis has abated, though serious challe",,"Turnaround Progress Seen, 2 Executives to Leave Ford Two of the Ford Motor Company's most senior executives retired in a sign that the company's deep financial crisis has abated, though serious challenges remain.",2020,Business,John Doe,BBC
120,AUSTRALIA ROMP TO HISTORIC WIN Australia wrapped up their first series win in India in 35 years after an overwhelming victory by 342 runs in the third Test in Nagpur.,,AUSTRALIA ROMP TO HISTORIC WIN Australia wrapped up their first series win in India in 35 years after an overwhelming victory by 342 runs in the third Test in Nagpur.,2023,Sports,Sara Ahmed,Reuters
121,"Cambodia's king 'has abdicated' Cambodia's King Sihanouk has announced his abdication, his son tells the country's National Assembly.",,"Cambodia's king 'has abdicated' Cambodia's King Sihanouk has announced his abdication, his son tells the country's National Assembly.",2024,World,Chen Li,BBC
122,"US soldier pleads guilty in Iraq abuse case The highest-ranking US Army soldier accused of abusing prisoners at the Abu Ghraib prison in Iraq, has pleaded guilty to five charges.",,"US soldier pleads guilty in Iraq abuse case The highest-ranking US Army soldier accused of abusing prisoners at the Abu Ghraib prison in Iraq, has pleaded guilty to five charges.",2023,World,Chen Li,The Guardian
123,"Toxic Algae Bloom Seen Off Washington State Coast An unusually large toxic bloom of algae, which could poison humans and taint shellfish, has been detected in the ocean off the northwest coast of Wash",,"Toxic Algae Bloom Seen Off Washington State Coast An unusually large toxic bloom of algae, which could poison humans and taint shellfish, has been detected in the ocean off the northwest coast of Washington state, oceanographers said on Wednesday.",2022,Sci/Tech,John Doe,AP
124,First contract signed with US companies at Havana Trade Fair US entrepreneurs participating in the Havana Trade Fair are planning to negotiate new sales of cattle and foodstuffs and hope to exceed the,,First contract signed with US companies at Havana Trade Fair US entrepreneurs participating in the Havana Trade Fair are planning to negotiate new sales of cattle and foodstuffs and hope to exceed the one billion dollars in total revenue they have,2023,Business,Marco Rossi,CNBC
125,"Budget ax falls on lunar probe Politics, Texas-style, led to NASA and its shuttle program getting their best treatment in decades from Congressional budget writers.",,"Budget ax falls on lunar probe Politics, Texas-style, led to NASA and its shuttle program getting their best treatment in decades from Congressional budget writers.",2021,Sci/Tech,Alex Smith,BBC
126,Teen Newsbreak - Getting out the vote A nonpartisan national group is trying to get a record number of voters to the polls this year,By MARK ZALOUDEK. Scientists are unlocking some of the mysteries of the universe as planetary exploration forges ahead on several fronts.,Teen Newsbreak - Getting out the vote A nonpartisan national group is trying to get a record number of voters to the polls this year. By MARK ZALOUDEK. Scientists are unlocking some of the mysteries of the universe as planetary exploration forges ahead on several fronts.,2019,Sci/Tech,Jamie Lee,Reuters
127,"CA Updates PestPatrol Anti-Spyware Technology Computer Associates (CA) on Monday rolled out new editions of PestPatrol, the anti-spyware technology it picked up in August when it purchased the private",,"CA Updates PestPatrol Anti-Spyware Technology Computer Associates (CA) on Monday rolled out new editions of PestPatrol, the anti-spyware technology it picked up in August when it purchased the privately-held Pennsylvania company.",2023,Sci/Tech,M. Patel,CNBC
128,"US manufacturing activity picks up, construction surges to record &lt;b&gt;...&lt;/b&gt; US manufacturing activity remained strong in September and construction spending surged to a record high in Aug",,"US manufacturing activity picks up, construction surges to record &lt;b&gt;...&lt;/b&gt; US manufacturing activity remained strong in September and construction spending surged to a record high in August, according to a pair of reports issued Friday that provided an optimistic look at the sturdiness of the economy.",2024,Business,Jamie Lee,Bloomberg
129,"Cavaliers, Hokies Play Host Akron at No","12 Virginia &lt;br&gt;   Where:  Scott Stadium, Charlottesville&lt;br&gt;   When:  3 p.m.    Radio:  WTNT-570    Tickets:  Sold out &lt;br&gt;   Another Top QB:  Like North Carolina's Darian Durant last week, Akron quarterback Charlie Frye is the key to his team's slim chances of upsetting the Cavaliers. The 6-foot-4 senior, likened by Virginia Coach Al Groh to recent ACC stars Matt Schaub and Philip Rivers, ranks fourth among active NCAA quarterbacks with 9,048 career passing yards. In losses the past two weeks to Penn State and Middle Tennessee, Frye completed 60 of 80 passes for 622 yards. Weather permitting, he will present a challenge for an inexperienced Virginia secondary that made a few too many errors in deep coverage in its first two games.","Cavaliers, Hokies Play Host Akron at No. 12 Virginia &lt;br&gt;   Where:  Scott Stadium, Charlottesville&lt;br&gt;   When:  3 p.m.    Radio:  WTNT-570    Tickets:  Sold out &lt;br&gt;   Another Top QB:  Like North Carolina's Darian Durant last week, Akron quarterback Charlie Frye is the key to his team's slim chances of upsetting the Cavaliers. The 6-foot-4 senior, likened by Virginia Coach Al Groh to recent ACC stars Matt Schaub and Philip Rivers, ranks fourth among active NCAA quarterbacks with 9,048 career passing yards. In losses the past two weeks to Penn State and Middle Tennessee, Frye completed 60 of 80 passes for 622 yards. Weather permitting, he will present a challenge for an inexperienced Virginia secondary that made a few too many errors in deep coverage in its first two games.",2025,Sports,Chen Li,TechCrunch
130,Barclays takes look at Absa Barclays said Thursday that it was in  quot;early stage quot; talks about buying control of South Africa #39;s Absa Group for at least \$3 billion in what would be its larg,,Barclays takes look at Absa Barclays said Thursday that it was in  quot;early stage quot; talks about buying control of South Africa #39;s Absa Group for at least \$3 billion in what would be its largest purchase outside Britain.,2021,Business,Sara Ahmed,The Guardian
131,"IBM Wins Lloyds TSB Network Contract IBM has signed a \$969-million deal to provide DSL-based Internet telephony and data services to Lloyds TSB, one of the largest banks in the UK.",,"IBM Wins Lloyds TSB Network Contract IBM has signed a \$969-million deal to provide DSL-based Internet telephony and data services to Lloyds TSB, one of the largest banks in the UK.",2023,Sci/Tech,A. Johnson,The Guardian
132,Howard University engineering programs get a boost Industry giants are giving Howard University \$70.6 million in technology to help the school #39;s engineering and science programs.,,Howard University engineering programs get a boost Industry giants are giving Howard University \$70.6 million in technology to help the school #39;s engineering and science programs.,2021,Business,Priya Singh,The Guardian
133,"Nippon Steel to pay double for coal next year Nippon Steel, Japans leading steelmaker, has agreed to pay a record price of more than \$120 per tonne for coking coal from next spring to Australias BHP",,"Nippon Steel to pay double for coal next year Nippon Steel, Japans leading steelmaker, has agreed to pay a record price of more than \$120 per tonne for coking coal from next spring to Australias BHP Billiton Mitsubishi",2021,Business,Chen Li,Wired
134,Zarqawis Al-Qaeda Allegiance Intelligence Work: Expert The alleged allegiance of Al-Tawheed wal Jihad group in Iraq to Al-Qaeda network of Osama Bin Laden pledged in an unverified statement,,Zarqawis Al-Qaeda Allegiance Intelligence Work: Expert The alleged allegiance of Al-Tawheed wal Jihad group in Iraq to Al-Qaeda network of Osama Bin Laden pledged in an unverified statement,2022,World,Jane Doe,AP
135,"\$10 million space shot A star-spangled rocket plane returned to space yesterday, enabling a team of entrepreneurs to collect a \$10 million prize for developing the first reusable private spacecraft.",,"\$10 million space shot A star-spangled rocket plane returned to space yesterday, enabling a team of entrepreneurs to collect a \$10 million prize for developing the first reusable private spacecraft.",2025,Sci/Tech,Alex Smith,TechCrunch
136,South Korea #39;s police round up striking civil servants SEOUL: South Korea #39;s police detained more than 140 public sector workers for their involvement in an unprecedented illegal strike against,,"South Korea #39;s police round up striking civil servants SEOUL: South Korea #39;s police detained more than 140 public sector workers for their involvement in an unprecedented illegal strike against a controversial government labor reform bill, officials said.",2024,World,Sara Ahmed,The Guardian
137,"PA: Gaza to remain occupied land even after disengagement Israel will remain an occupying power in the Gaza Strip even if it carries out the disengagement plan, and should be treated as such, accordin",,"PA: Gaza to remain occupied land even after disengagement Israel will remain an occupying power in the Gaza Strip even if it carries out the disengagement plan, and should be treated as such, according to a legal document prepared by the Palestinian Authority.",2024,World,Marco Rossi,TechCrunch
138,"The Unraveling of a Terror Case Spun From Thinnest Threads The wreckage of a Detroit case about a ""sleeper operational combat cell"" reveals that it was built on evidence that has since been undermined",,"The Unraveling of a Terror Case Spun From Thinnest Threads The wreckage of a Detroit case about a ""sleeper operational combat cell"" reveals that it was built on evidence that has since been undermined.",2020,World,M. Patel,TechCrunch
139,"Having the final say FOXBOROUGH -- The Patriots have won 20 games in a row, and yesterday they tied the NFL record for most consecutive regular-season wins (17)",Those are feats that take all the emotion the players can muster week after week.,"Having the final say FOXBOROUGH -- The Patriots have won 20 games in a row, and yesterday they tied the NFL record for most consecutive regular-season wins (17). Those are feats that take all the emotion the players can muster week after week.",2021,Sports,Alex Smith,Wired
140,"PAISLEY #39;S PLAN FOR IRA NORTHERN Ireland could return to self-government next spring, the Rev Ian Paisley #39;s Democratic Unionist Party said last night.",,"PAISLEY #39;S PLAN FOR IRA NORTHERN Ireland could return to self-government next spring, the Rev Ian Paisley #39;s Democratic Unionist Party said last night.",2024,World,Marco Rossi,The Guardian
141,Travelers could soon report to work mid-flight NEW YORK - Business travelers will be able to surf the Web securely on long-distance flights by combining services from Boeing Co.,,Travelers could soon report to work mid-flight NEW YORK - Business travelers will be able to surf the Web securely on long-distance flights by combining services from Boeing Co.,2023,Sci/Tech,Chen Li,CNBC
142,Jerry Rice Reiterates Call for Trade (AP) AP - Jerry Rice was scheduled to meet with Oakland Raiders owner Al Davis on Wednesday night to discuss the receiver's future after he said he wants to be tra,,Jerry Rice Reiterates Call for Trade (AP) AP - Jerry Rice was scheduled to meet with Oakland Raiders owner Al Davis on Wednesday night to discuss the receiver's future after he said he wants to be traded.,2024,Sports,Chen Li,TechCrunch
143,Marchers demand fair Ukraine poll Tens of thousands march in a tense Kiev in support for the opposition ahead of next weekend's election.,,Marchers demand fair Ukraine poll Tens of thousands march in a tense Kiev in support for the opposition ahead of next weekend's election.,2020,World,Priya Singh,Bloomberg
144,"Wireless Internet Siemens Sets Wireless Data Speed Record In order to achieve the speed of one gigabit per second, Siemens combined an  quot;intelligent antenna system quot; consisting of three transm",,"Wireless Internet Siemens Sets Wireless Data Speed Record In order to achieve the speed of one gigabit per second, Siemens combined an  quot;intelligent antenna system quot; consisting of three transmitting and four receiving antennas with Orthogonal Frequency Division Multiplexing.",2019,Sci/Tech,A. Johnson,Bloomberg
145,"Sudan Talks in Nigeria Said Deadlocked (Reuters) Reuters - After two weeks of talks to end the\crisis in Sudan's Darfur region, government and rebel\negotiators remain far apart on key security issues",,"Sudan Talks in Nigeria Said Deadlocked (Reuters) Reuters - After two weeks of talks to end the\crisis in Sudan's Darfur region, government and rebel\negotiators remain far apart on key security issues, including\disarming warring factions, rebels and diplomats said on\Monday.",2019,World,Sara Ahmed,Reuters
146,Sybase offers free ASE license for Linux Sybase Inc,is trying to lure businesses seeking low-cost open source DBMS alternatives by offering a free production license for its Adaptive Server Enterprise Express Edition on Linux.,Sybase offers free ASE license for Linux Sybase Inc. is trying to lure businesses seeking low-cost open source DBMS alternatives by offering a free production license for its Adaptive Server Enterprise Express Edition on Linux.,2024,Sci/Tech,Sara Ahmed,AP
147,"Report Alleges Gay Abuse in Jamaica (AP) AP - A report by a watchdog agency alleges widespread abuse against gays in this Caribbean island, known for the slogan ""one love.""",,"Report Alleges Gay Abuse in Jamaica (AP) AP - A report by a watchdog agency alleges widespread abuse against gays in this Caribbean island, known for the slogan ""one love.""",2023,World,Marco Rossi,Wired
148,New GuruNet Beta includes Desktop Search New GuruNet Beta includes Desktop Search\\Bob Rosenschein and his team are online with the beta release of a new Gurunet client (ver,"5.2, Windows only). Their useful GuruNet answer/reference tool now includes a desktop search app. We haven't has a chance to try it out yet (we will) but we ...","New GuruNet Beta includes Desktop Search New GuruNet Beta includes Desktop Search\\Bob Rosenschein and his team are online with the beta release of a new Gurunet client (ver. 5.2, Windows only). Their useful GuruNet answer/reference tool now includes a desktop search app. We haven't has a chance to try it out yet (we will) but we ...",2024,Sci/Tech,Chen Li,Reuters
149,"Schroeder #39;s SPD Routed in Saarland, Far Right Gains German Chancellor Gerhard Schroeder #39;s Social Democrats slumped to their worst result in 44 years in the western state of Saarland on Sunday",,"Schroeder #39;s SPD Routed in Saarland, Far Right Gains German Chancellor Gerhard Schroeder #39;s Social Democrats slumped to their worst result in 44 years in the western state of Saarland on Sunday as voters punished the party for its painful economic reforms.",2024,World,Chen Li,AP
150,China Resources To Issue 57.97M Shrs For Supermarket Buys HONG KONG (Dow Jones)--China Resources Enterprise Ltd,(0291.HK) said it will issue 57.97 million new shares to its parent China Resources (Holdings) Co.,China Resources To Issue 57.97M Shrs For Supermarket Buys HONG KONG (Dow Jones)--China Resources Enterprise Ltd. (0291.HK) said it will issue 57.97 million new shares to its parent China Resources (Holdings) Co.,2025,Business,Jamie Lee,Bloomberg
151,"Maradona to Return to Cuba on Monday for Drug Rehab  HAVANA (Reuters) - Fallen soccer great Diego Maradona will  return to Cuba Monday to be shut away in a mental clinic for  more drug treatment, Arge",,"Maradona to Return to Cuba on Monday for Drug Rehab  HAVANA (Reuters) - Fallen soccer great Diego Maradona will  return to Cuba Monday to be shut away in a mental clinic for  more drug treatment, Argentine diplomats said Friday.",2025,Sports,Jane Doe,TechCrunch
152,Deadlock over Axum obelisk Strained relations between Eritrea and Ethiopia could prevent the Axum obelisk's return to Ethiopia from Italy.,,Deadlock over Axum obelisk Strained relations between Eritrea and Ethiopia could prevent the Axum obelisk's return to Ethiopia from Italy.,2020,World,M. Patel,The Guardian
153,Barghouthi Drops Out of Palestinian Election Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of a Jan,"9 presidential election to succeed Yasser Arafat, a close aide said on Sunday.","Barghouthi Drops Out of Palestinian Election Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of a Jan. 9 presidential election to succeed Yasser Arafat, a close aide said on Sunday.",2024,World,Chen Li,The Guardian
154,CIBC  #39;disturbed #39; at word of continued faxes of client data to US &lt;b&gt;...&lt;/b&gt; TORONTO (CP) - CIBC revealed Friday that it learned last month that faxes containing sensitive customer,,CIBC  #39;disturbed #39; at word of continued faxes of client data to US &lt;b&gt;...&lt;/b&gt; TORONTO (CP) - CIBC revealed Friday that it learned last month that faxes containing sensitive customer information were allegedly still arriving at a US junkyard two years after the bank thought the problem had been fixed.,2025,Business,Jane Doe,The Guardian
